person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
22,10.422311107413181,OWN,1.0,MEDICAL,D,8.517393171418904,18.25,0.15,0,2,0
30,10.645448706505872,RENT,1.0,MEDICAL,D,8.699681400989514,14.46,0.14,0,5,1
24,10.809748150372926,RENT,9.0,EDUCATION,D,8.699681400989514,16.07,0.12,1,4,0
28,11.225256725762893,MORTGAGE,9.0,DEBTCONSOLIDATION,B,9.169622538697624,10.62,0.13,0,7,0
28,10.463131911491967,OWN,2.0,PERSONAL,D,9.491828300264636,16.89,0.38,0,7,0
28,10.085850775128717,RENT,0.0,PERSONAL,C,9.210440366976517,12.87,0.42,1,10,1
45,12.100717685412471,MORTGAGE,8.0,MEDICAL,A,9.210440366976517,5.99,0.06,0,11,0
24,11.461642696843066,MORTGAGE,4.0,PERSONAL,B,10.12667110305036,10.08,0.26,0,4,0
23,10.125069885783383,RENT,3.0,MEDICAL,B,7.424165281042028,11.11,0.07,0,3,0
23,11.002116507732017,MORTGAGE,6.0,EDUCATION,C,8.987321812850125,13.49,0.13,1,2,0
23,10.134638955251866,MORTGAGE,4.0,MEDICAL,A,7.0909098220799835,7.49,0.05,0,3,0
22,9.862717639992917,MORTGAGE,3.0,MEDICAL,D,8.517393171418904,15.33,0.26,0,3,1
26,11.289794413577894,MORTGAGE,5.0,HOMEIMPROVEMENT,A,8.006700845440367,8.0,0.04,0,3,0
26,10.849356503939038,OWN,10.0,HOMEIMPROVEMENT,A,9.61587214452889,6.92,0.29,0,2,0
21,11.127336510866854,MORTGAGE,5.0,DEBTCONSOLIDATION,B,9.680406499268875,11.26,0.24,0,3,0
32,10.968215530759236,RENT,3.0,MEDICAL,B,9.210440366976517,10.96,0.17,0,10,0
21,11.002116507732017,MORTGAGE,2.0,VENTURE,B,8.699681400989514,10.62,0.1,0,2,0
27,11.608244735642321,MORTGAGE,0.0,EDUCATION,A,9.680406499268875,7.9,0.15,0,7,0
30,11.695255355062795,MORTGAGE,1.0,EDUCATION,B,8.476579508530941,10.36,0.04,0,8,0
34,11.049317340813348,MORTGAGE,11.0,MEDICAL,A,9.798182590890704,8.94,0.24,0,5,1
30,11.19833800020246,RENT,5.0,VENTURE,B,8.987321812850125,9.99,0.11,0,7,0
24,11.156264806643742,MORTGAGE,2.0,MEDICAL,C,9.210440366976517,13.49,0.14,0,4,0
31,10.434145214930487,MORTGAGE,3.0,EDUCATION,C,9.210440366976517,13.85,0.29,1,6,1
32,11.608244735642321,MORTGAGE,2.0,VENTURE,B,8.630700432209832,10.74,0.05,0,7,0
34,11.002116507732017,MORTGAGE,6.0,PERSONAL,E,9.259225769705994,15.68,0.17,1,9,0
39,10.799595985047786,RENT,0.0,DEBTCONSOLIDATION,F,9.62747051161485,19.13,0.31,1,11,1
26,10.576457535657255,MORTGAGE,2.0,MEDICAL,D,8.294299608857235,15.05,0.1,0,3,1
22,11.050905878263567,RENT,2.0,DEBTCONSOLIDATION,A,8.517393171418904,7.74,0.08,0,3,0
26,10.389026137075234,MORTGAGE,0.0,HOMEIMPROVEMENT,A,8.160803920954665,8.59,0.11,0,2,0
30,11.441783858032416,MORTGAGE,10.0,HOMEIMPROVEMENT,A,7.824445930877619,5.99,0.03,0,6,0
31,11.678448377988165,MORTGAGE,8.0,MEDICAL,B,8.699681400989514,12.69,0.05,0,9,0
23,9.952325334619427,RENT,3.0,DEBTCONSOLIDATION,D,8.229777750081887,15.65,0.18,0,2,1
40,10.915033917272405,MORTGAGE,6.0,PERSONAL,B,8.699681400989514,9.76,0.11,0,14,1
22,11.1154434073529,RENT,6.0,DEBTCONSOLIDATION,E,8.476579508530941,16.7,0.07,1,2,1
27,10.518700218288165,RENT,11.0,MEDICAL,A,9.595670797663967,5.99,0.4,0,9,1
31,10.645448706505872,RENT,2.0,MEDICAL,A,8.853808274977197,7.9,0.17,0,7,0
